neighbourhood,price
Newham,103
Newham,265
Brent,85
Barking and Dagenham,34
Westminster,246
Newham,68
Greenwich,115
Wandsworth,285
Sutton,39
Newham,56
Lambeth,86
Camden,64
Camden,159
Westminster,850
Camden,119
Camden,60
Camden,60
Camden,139
Camden,60
Richmond upon Thames,54
Camden,64
Brent,55
Camden,63
Westminster,363
Hammersmith and Fulham,338
Brent,112
Westminster,495
Newham,69
Havering,101
Camden,91
Tower Hamlets,72
Camden,405
Enfield,182
Lewisham,78
Lambeth,571
Brent,41
Brent,44
Wandsworth,88
Southwark,150
Richmond upon Thames,138
Brent,195
Barking and Dagenham,55
Barking and Dagenham,55
Brent,290
Islington,107
Lambeth,92
Hammersmith and Fulham,119
Hammersmith and Fulham,63
Havering,115
Camden,158
Camden,223
Newham,34
Redbridge,68
Westminster,502
Hammersmith and Fulham,450
Ealing,59
Westminster,100
Havering,90
Havering,134
Haringey,300
Havering,138
Southwark,53
Southwark,104
Hammersmith and Fulham,196
Merton,180
Kensington and Chelsea,555
Southwark,115
Croydon,149
Croydon,164
Lewisham,123
Croydon,154
Croydon,153
Westminster,802
Newham,62
Islington,90
City of London,790
Wandsworth,110
Enfield,360
Haringey,476
Hounslow,86
Lambeth,53
Barking and Dagenham,129
Hammersmith and Fulham,676
Brent,105
Westminster,368
Hackney,69
Newham,100
Barking and Dagenham,53
Hammersmith and Fulham,77
Brent,57
Wandsworth,137
Westminster,200
Greenwich,162
Barnet,110
Westminster,157
Newham,42
Hackney,80
Southwark,144
Richmond upon Thames,735
Barnet,139
Tower Hamlets,57
Kensington and Chelsea,300
Westminster,348
Hammersmith and Fulham,93
Westminster,869
Camden,425
Lambeth,68
Lambeth,68
Kensington and Chelsea,234
Camden,75
Greenwich,146
Camden,60
Camden,64
Camden,62
Haringey,50
Hammersmith and Fulham,313
Brent,58
Islington,195
Lambeth,145
Wandsworth,161
Wandsworth,78
Hounslow,267
Westminster,131
Barnet,76
Tower Hamlets,152
Harrow,133
Westminster,119
Islington,94
Westminster,97
Lambeth,258
Camden,156
Havering,36
Wandsworth,383
Kensington and Chelsea,343
Kensington and Chelsea,150
Islington,76
Richmond upon Thames,108
Islington,282
Kensington and Chelsea,172
Lambeth,410
Croydon,352
Greenwich,110
Hackney,75
Waltham Forest,32
Southwark,317
Tower Hamlets,97
Hammersmith and Fulham,120
Wandsworth,57
Islington,72
Kensington and Chelsea,160
Kensington and Chelsea,173
Southwark,99
Kensington and Chelsea,150
Camden,220
Greenwich,63
Barnet,420
Sutton,85
Greenwich,63
Greenwich,71
Hounslow,68
Kensington and Chelsea,230
Wandsworth,64
Southwark,162
Waltham Forest,58
Croydon,90
Southwark,124
Redbridge,161
Waltham Forest,55
Islington,116
Hammersmith and Fulham,239
Lambeth,100
Southwark,122
Hounslow,39
Tower Hamlets,198
Hackney,43
Hackney,42
Westminster,298
Southwark,69
Tower Hamlets,145
Hackney,139
Wandsworth,582
Islington,288
Wandsworth,315
Kensington and Chelsea,150
Hammersmith and Fulham,60
Ealing,191
Hounslow,45
Islington,276
Tower Hamlets,164
Lewisham,41
Islington,112
Kensington and Chelsea,300
Kensington and Chelsea,111
Wandsworth,125
Westminster,405
Kensington and Chelsea,221
Kensington and Chelsea,200
Wandsworth,387
Westminster,195
Kensington and Chelsea,343
Hackney,303
Kensington and Chelsea,288
Hackney,203
Westminster,583
Wandsworth,315
Islington,106
Lambeth,161
Tower Hamlets,225
Kensington and Chelsea,150
Kensington and Chelsea,489
Hillingdon,167
Haringey,207
Westminster,162
Westminster,216
Tower Hamlets,146
Hackney,126
Kensington and Chelsea,343
Bromley,45
Camden,244
Ealing,81
Kensington and Chelsea,221
Westminster,191
Tower Hamlets,148
Croydon,215
Westminster,152
Camden,97
Westminster,61
Westminster,61
Westminster,62
Westminster,56
Westminster,83
Tower Hamlets,150
Brent,315
Tower Hamlets,2400
Hackney,85
Hackney,205
Brent,49
Westminster,153
Westminster,153
Tower Hamlets,269
Newham,156
Westminster,140
Ealing,47
Croydon,277
Greenwich,73
Kensington and Chelsea,357
Redbridge,108
Westminster,195
Ealing,42
Westminster,146
Hackney,71
Westminster,66
Camden,100
Merton,450
Southwark,297
Kensington and Chelsea,343
Kensington and Chelsea,106
Hackney,194
Hackney,51
Hillingdon,50
Wandsworth,101
Kensington and Chelsea,179
Hackney,136
Tower Hamlets,51
Hackney,75
Newham,32
Newham,173
Westminster,444
Islington,55
Southwark,99
Hackney,55
Wandsworth,128
Southwark,90
Barking and Dagenham,200
Richmond upon Thames,450
Kensington and Chelsea,184
Southwark,88
Westminster,170
Westminster,403
Westminster,473
Barking and Dagenham,82
Merton,112
Kensington and Chelsea,150
Bromley,235
Westminster,450
Newham,116
Wandsworth,254
Haringey,50
Wandsworth,134
Lewisham,124
Camden,47
Ealing,45
Westminster,801
Hammersmith and Fulham,198
Hammersmith and Fulham,141
Haringey,87
Waltham Forest,150
Enfield,34
Kensington and Chelsea,195
Hillingdon,114
Lambeth,202
Enfield,75
Haringey,37
Westminster,388
Hammersmith and Fulham,510
Merton,90
Camden,52
Hammersmith and Fulham,123
Hackney,78
Wandsworth,91
Newham,80
Tower Hamlets,115
Croydon,86
Haringey,116
Richmond upon Thames,102
Wandsworth,405
Wandsworth,351
Tower Hamlets,70
Lambeth,53
Greenwich,87
Haringey,250
Hounslow,74
Ealing,90
Hackney,141
Islington,86
Southwark,226
Hammersmith and Fulham,355
Sutton,74
Hammersmith and Fulham,81
Newham,100
Barnet,47
Ealing,175
Greenwich,130
Hammersmith and Fulham,77
Barnet,160
Wandsworth,400
Wandsworth,175
Wandsworth,54
Southwark,100
Hackney,100
Camden,383
Bexley,71
Brent,65
Camden,638
Haringey,76
Tower Hamlets,42
Merton,42
Tower Hamlets,41
Camden,1485
Islington,78
Tower Hamlets,52
Tower Hamlets,69
Merton,72
Tower Hamlets,55
Hackney,266
Southwark,135
Camden,67
Hammersmith and Fulham,343
Hammersmith and Fulham,75
Islington,63
Islington,63
Islington,63
Islington,63
Islington,67
Islington,147
Islington,63
Camden,159
Brent,68
Wandsworth,148
Kensington and Chelsea,352
Brent,135
Hackney,160
Hillingdon,48
Redbridge,135
Islington,54
Camden,99
Wandsworth,124
Hammersmith and Fulham,160
Hillingdon,77
Haringey,125
Kensington and Chelsea,240
Kensington and Chelsea,200
Islington,208
Hammersmith and Fulham,403
Greenwich,146
Haringey,198
Kensington and Chelsea,195
Wandsworth,880
Brent,153
Southwark,131
Hammersmith and Fulham,42
Haringey,99
Hounslow,76
Redbridge,40
Hackney,137
Westminster,211
Hackney,90
Wandsworth,44
Tower Hamlets,82
Brent,158
Hackney,125
Waltham Forest,92
Westminster,773
Wandsworth,198
Kensington and Chelsea,237
Merton,428
Hammersmith and Fulham,31
Westminster,180
Westminster,428
Tower Hamlets,49
Hammersmith and Fulham,185
Westminster,257
Westminster,324
Camden,976
Westminster,528
Camden,135
Westminster,308
Camden,276
Richmond upon Thames,108
Bromley,52
Southwark,127
Tower Hamlets,257
Camden,103
Tower Hamlets,222
Tower Hamlets,398
Tower Hamlets,163
Camden,96
Lewisham,62
Westminster,198
Camden,211
Lewisham,80
Newham,272
Brent,270
Brent,436
Tower Hamlets,292
Camden,233
Hackney,300
Westminster,749
Hackney,57
Hackney,64
Tower Hamlets,272
Barnet,46
Hackney,183
Hammersmith and Fulham,348
Brent,343
Hammersmith and Fulham,241
Southwark,78
Hammersmith and Fulham,141
Southwark,123
Kensington and Chelsea,255
Lambeth,126
Hackney,54
Camden,92
Islington,112
Camden,109
Hackney,119
Hackney,127
Newham,117
Camden,77
Camden,93
Newham,255
Barnet,309
Camden,81
Wandsworth,856
Camden,100
Redbridge,43
Camden,100
Hackney,278
Camden,83
Barnet,31
Camden,86
Camden,97
Camden,88
Ealing,36
Kensington and Chelsea,360
Lambeth,105
Ealing,80
Westminster,305
Westminster,255
Westminster,378
Barnet,253
Barnet,45
Camden,227
Camden,113
Camden,321
Kensington and Chelsea,120
Westminster,403
Lambeth,155
Haringey,122
Wandsworth,96
Islington,111
Croydon,100
Hackney,116
Islington,111
Islington,135
Islington,116
Islington,115
Islington,116
Islington,129
Lambeth,152
Haringey,249
Tower Hamlets,151
Wandsworth,84
Islington,270
Westminster,253
Westminster,342
Bromley,95
Haringey,45
Merton,75
Camden,1500
Westminster,249
Kensington and Chelsea,546
Wandsworth,47
Barnet,54
Barnet,40
Westminster,51
Greenwich,50
Westminster,54
Hillingdon,48
Lewisham,124
Waltham Forest,69
Westminster,180
Haringey,131
Southwark,149
Southwark,45
Brent,297
Camden,213
Lambeth,222
Greenwich,170
Westminster,329
Tower Hamlets,104
Haringey,72
Redbridge,196
Haringey,53
Camden,299
Croydon,50
Lewisham,111
Haringey,55
Hammersmith and Fulham,119
Westminster,205
Tower Hamlets,164
Bromley,377
Barnet,160
Greenwich,152
Richmond upon Thames,115
Richmond upon Thames,160
Barking and Dagenham,209
Richmond upon Thames,130
Wandsworth,120
Redbridge,94
Croydon,30
Southwark,117
Wandsworth,119
Redbridge,136
Redbridge,168
Tower Hamlets,210
Enfield,200
Waltham Forest,104
Camden,275
Wandsworth,255
Westminster,171
Tower Hamlets,125
Westminster,1238
Wandsworth,242
Westminster,195
Kensington and Chelsea,899
Westminster,278
Camden,310
Westminster,100
Bexley,21
Kingston upon Thames,54
Croydon,60
Westminster,475
Kensington and Chelsea,301
Havering,152
Bromley,96
Kensington and Chelsea,220
Wandsworth,153
Kensington and Chelsea,549
Lambeth,113
Haringey,251
Camden,162
City of London,174
Camden,237
Richmond upon Thames,39
Enfield,42
Ealing,34
Barnet,99
Waltham Forest,171
Westminster,2560
Ealing,149
Camden,68
Kensington and Chelsea,159
Hackney,118
Redbridge,131
Hackney,144
Camden,84
Croydon,97
Kingston upon Thames,189
Westminster,205
Lambeth,210
Hammersmith and Fulham,106
Enfield,93
Lambeth,277
Lambeth,394
Camden,300
Southwark,171
Kensington and Chelsea,350
Kensington and Chelsea,546
Harrow,68
Hammersmith and Fulham,195
Redbridge,45
Bromley,114
Ealing,44
Southwark,142
Westminster,400
Hackney,44
Westminster,209
Camden,86
Camden,179
Kensington and Chelsea,282
Havering,366
Islington,130
Brent,135
Sutton,174
Lambeth,127
Hackney,193
Kensington and Chelsea,202
Tower Hamlets,105
Merton,37
Kensington and Chelsea,207
Camden,254
Haringey,120
Hackney,93
Kensington and Chelsea,173
Kensington and Chelsea,152
Havering,200
Hounslow,67
Westminster,309
Brent,81
Westminster,153
Westminster,335
Lambeth,60
Merton,57
Brent,128
Hackney,65
Havering,43
Camden,96
Westminster,214
Westminster,394
Kensington and Chelsea,932
Westminster,261
Hammersmith and Fulham,80
Kensington and Chelsea,510
Islington,92
Islington,801
Kensington and Chelsea,1049
Camden,939
Kensington and Chelsea,273
Islington,317
Hammersmith and Fulham,1041
Hammersmith and Fulham,88
Tower Hamlets,118
Hounslow,124
Croydon,69
Richmond upon Thames,1200
Camden,95
Hackney,184
Haringey,90
Hackney,176
Sutton,292
Enfield,129
Kensington and Chelsea,90
Wandsworth,52
Tower Hamlets,117
Brent,142
Camden,92
Camden,106
Barnet,101
Tower Hamlets,340
Hackney,71
Hackney,81
Hackney,74
Hackney,102
Hackney,112
Hackney,96
Hackney,107
Hackney,103
Kensington and Chelsea,114
Waltham Forest,73
Barnet,202
Southwark,143
Tower Hamlets,551
Enfield,234
Westminster,165
Waltham Forest,54
Barnet,77
Wandsworth,158
Islington,49
Greenwich,233
Islington,95
Westminster,89
Greenwich,87
Greenwich,181
Ealing,159
Westminster,457
Wandsworth,108
Southwark,225
Tower Hamlets,272
Southwark,144
Lambeth,157
Lewisham,50
Islington,146
Westminster,347
Haringey,66
Croydon,95
Lambeth,193
Southwark,49
Croydon,64
Camden,180
Kensington and Chelsea,203
Redbridge,196
Camden,170
Greenwich,173
Waltham Forest,45
Greenwich,173
Croydon,201
Kensington and Chelsea,700
Westminster,258
Newham,132
Merton,450
Kensington and Chelsea,300
Ealing,68
Lewisham,54
Kensington and Chelsea,117
Bexley,117
Islington,167
Westminster,129
Hackney,333
Camden,290
Lambeth,65
Barking and Dagenham,38
Waltham Forest,86
Westminster,342
Barking and Dagenham,127
Hammersmith and Fulham,481
Greenwich,136
Newham,129
Westminster,303
Hounslow,150
Enfield,32
Croydon,107
Kensington and Chelsea,309
Tower Hamlets,43
Hackney,50
Westminster,253
Hackney,57
Hackney,32
Brent,288
Kensington and Chelsea,427
Tower Hamlets,190
Wandsworth,194
Westminster,220
Westminster,447
Islington,54
Kensington and Chelsea,170
Camden,189
Kensington and Chelsea,146
Wandsworth,250
Camden,150
Lambeth,108
Newham,54
Haringey,149
Haringey,53
Southwark,137
Tower Hamlets,82
Tower Hamlets,160
Wandsworth,280
Harrow,44
Barnet,90
Croydon,50
Islington,252
Brent,235
Brent,240
Richmond upon Thames,67
Lewisham,47
Westminster,117
Islington,141
Kensington and Chelsea,73
Camden,79
Lewisham,45
Hounslow,143
Hackney,136
Kensington and Chelsea,677
Camden,95
Camden,90
Bromley,103
Waltham Forest,36
Westminster,358
Islington,273
Camden,80
Camden,90
Camden,104
Camden,75
Camden,212
Camden,83
Hammersmith and Fulham,54
Westminster,269
Camden,97
Camden,81
Hounslow,39
Islington,340
Westminster,524
Lambeth,174
Tower Hamlets,132
Greenwich,45
Islington,134
Hackney,71
Ealing,37
Hackney,97
Wandsworth,90
Westminster,139
Camden,202
Camden,105
Camden,114
Camden,89
Hammersmith and Fulham,86
Lambeth,80
Islington,43
Islington,37
Redbridge,120
Hackney,150
Hackney,269
Kingston upon Thames,189
Westminster,260
Redbridge,200
Haringey,116
Camden,321
Kensington and Chelsea,270
Kensington and Chelsea,180
Haringey,55
Camden,163
Hackney,304
Greenwich,96
Kensington and Chelsea,296
Brent,195
Richmond upon Thames,127
Westminster,87
Kensington and Chelsea,300
Haringey,264
Haringey,141
Ealing,50
Greenwich,50
Barnet,150
Croydon,233
City of London,193
Hackney,160
Hammersmith and Fulham,179
Wandsworth,148
Westminster,151
Islington,432
Westminster,363
Tower Hamlets,182
Tower Hamlets,145
Hammersmith and Fulham,171
Kensington and Chelsea,195
Kensington and Chelsea,182
Merton,108
Westminster,41
Southwark,212
Barnet,90
Ealing,72
Bexley,38
Redbridge,116
Tower Hamlets,238
Enfield,64
Camden,61
Hackney,999
Westminster,347
Hackney,999
Hackney,999
Camden,47
Tower Hamlets,45
Richmond upon Thames,113
Bexley,413
Tower Hamlets,85
Westminster,294
Islington,191
Hammersmith and Fulham,85
Lewisham,135
Westminster,151
Lambeth,137
Camden,135
Hackney,200
Hackney,250
Barnet,323
Wandsworth,123
Wandsworth,127
Wandsworth,124
Wandsworth,220
Wandsworth,134
Wandsworth,126
Tower Hamlets,296
Lambeth,81
Tower Hamlets,340
Camden,60
Hillingdon,50
Hackney,265
Wandsworth,340
Lambeth,44
Westminster,270
Waltham Forest,53
Bromley,29
Newham,245
Barking and Dagenham,153
Barking and Dagenham,78
Westminster,166
Croydon,45
Enfield,270
Kensington and Chelsea,191
Wandsworth,450
Merton,46
Tower Hamlets,94
Westminster,117
Barking and Dagenham,130
Westminster,371
Westminster,988
Camden,35
Tower Hamlets,130
Westminster,341
Wandsworth,228
Haringey,154
Newham,170
Westminster,531
Tower Hamlets,130
Brent,160
Camden,288
Camden,249
Westminster,360
Camden,315
Camden,249
Lambeth,290
Westminster,306
Westminster,227
Westminster,348
Camden,102
Lewisham,124
Wandsworth,145
Kingston upon Thames,56
Lewisham,69
Tower Hamlets,132
Southwark,207
Brent,321
Greenwich,36
Croydon,62
Ealing,153
Redbridge,47
Ealing,203
Haringey,101
Hillingdon,270
Brent,41
Westminster,164
Waltham Forest,41
Haringey,112
Lambeth,322
Bromley,161
Bromley,133
Westminster,300
Lambeth,98
Bexley,50
Wandsworth,39
Lambeth,98
Lambeth,83
Lambeth,78
Lambeth,89
Harrow,65
Greenwich,197
Bromley,130
Westminster,229
Bromley,98
Wandsworth,137
Greenwich,119
Redbridge,144
Newham,172
Westminster,246
Lambeth,128
Camden,85
Tower Hamlets,283
Croydon,103
Lambeth,66
Wandsworth,100
Barnet,149
Hounslow,175
Kingston upon Thames,94
Haringey,75
Barnet,207
Islington,212
Ealing,98
Kensington and Chelsea,227
Tower Hamlets,141
City of London,381
Camden,295
Southwark,143
Wandsworth,451
Croydon,80
Kensington and Chelsea,203
Ealing,145
Hounslow,93
Kensington and Chelsea,203
Westminster,182
Tower Hamlets,139
Southwark,48
Redbridge,40
Kensington and Chelsea,383
Camden,453
Waltham Forest,98
Hammersmith and Fulham,149
Hammersmith and Fulham,275
Kensington and Chelsea,157
Islington,283
Lambeth,65
Kensington and Chelsea,135
Westminster,195
Islington,75
Croydon,143
Kensington and Chelsea,185
Haringey,141
Merton,48
Lambeth,31
Lambeth,30
Westminster,225
Lewisham,180
Hammersmith and Fulham,144
Tower Hamlets,104
Richmond upon Thames,240
Westminster,274
Hammersmith and Fulham,179
Lambeth,140
Kensington and Chelsea,118
Hackney,67
Tower Hamlets,63
Tower Hamlets,280
Hounslow,50
Westminster,274
Wandsworth,265
Lambeth,28
Hackney,111
Camden,163
Islington,124
Greenwich,86
Southwark,51
Westminster,287
Hammersmith and Fulham,138
Westminster,290
Westminster,400
Kensington and Chelsea,342
Lambeth,189
Waltham Forest,58
Tower Hamlets,110
Hammersmith and Fulham,220
Southwark,139
Westminster,122
Hammersmith and Fulham,87
Westminster,98
Wandsworth,73
Lambeth,121
Tower Hamlets,145
Tower Hamlets,117
Lambeth,200
Barnet,49
Kensington and Chelsea,89
Westminster,138
Hackney,2000
Hounslow,40
Westminster,63
Enfield,52
Tower Hamlets,189
Wandsworth,95
Lewisham,329
Lewisham,127
Merton,168
Westminster,195
Ealing,114
Hackney,232
Ealing,90
Lewisham,571
Westminster,532
Kensington and Chelsea,253
Tower Hamlets,158
Lewisham,220
Havering,114
Brent,330
Kensington and Chelsea,197
Hackney,108
Kensington and Chelsea,235
Wandsworth,83
Hammersmith and Fulham,335
Lewisham,182
Camden,310
Camden,335
Camden,300
Newham,192
Westminster,199
Barnet,72
Westminster,77
Croydon,130
Westminster,481
Haringey,96
Wandsworth,192
Lewisham,76
Hackney,233
Kensington and Chelsea,575
Southwark,127
Richmond upon Thames,40
Southwark,34
Hounslow,70
Newham,141
Redbridge,90
Hammersmith and Fulham,120
Westminster,400
Southwark,290
Lambeth,290
Lambeth,261
Kensington and Chelsea,125
Kensington and Chelsea,209
Wandsworth,1411
Westminster,445
Wandsworth,104
Westminster,251
Kensington and Chelsea,293
Tower Hamlets,48
Westminster,376
Islington,273
Tower Hamlets,174
Newham,159
Lambeth,225
Merton,117
Kensington and Chelsea,153
Lambeth,37
Brent,190
Wandsworth,64
Hammersmith and Fulham,54
Greenwich,72
Westminster,460
Westminster,400
Tower Hamlets,179
Lewisham,148
Barnet,140
Kensington and Chelsea,211
Hammersmith and Fulham,375
Tower Hamlets,87
Merton,50
Westminster,51
Camden,94
Tower Hamlets,130
Tower Hamlets,142
Southwark,76
Westminster,135
Sutton,35
Lambeth,108
Islington,212
Camden,238
Camden,333
Barnet,92
Kensington and Chelsea,143
Barnet,114
Croydon,266
Westminster,242
Westminster,111
Kensington and Chelsea,584
Westminster,60
Ealing,46
Westminster,154
Westminster,879
Hackney,196
Kensington and Chelsea,275
Westminster,29
Croydon,35
Islington,737
Camden,297
Kensington and Chelsea,206
Southwark,76
Islington,142
Bromley,56
Wandsworth,85
Bexley,240
Wandsworth,82
Kensington and Chelsea,309
Kensington and Chelsea,111
Wandsworth,200
Kingston upon Thames,855
Greenwich,105
Ealing,82
Westminster,56
Lambeth,36
Wandsworth,105
Greenwich,45
Merton,54
Brent,135
Southwark,111
Westminster,136
Barnet,90
Greenwich,360
Southwark,100
Croydon,34
Barnet,80
Southwark,72
Tower Hamlets,39
Southwark,91
Hounslow,65
Tower Hamlets,125
Westminster,147
Kensington and Chelsea,594
Kensington and Chelsea,231
Bromley,190
Kensington and Chelsea,140
Islington,122
Islington,126
Ealing,254
Wandsworth,75
Lambeth,69
Waltham Forest,52
Lambeth,70
Lambeth,83
Croydon,45
Bexley,185
Barnet,80
Wandsworth,126
Waltham Forest,86
Newham,49
Harrow,90
Kensington and Chelsea,73
Tower Hamlets,131
Hammersmith and Fulham,63
Wandsworth,284
Bromley,141
Lambeth,198
Lambeth,58000
Greenwich,77
Southwark,123
Hackney,56
Greenwich,245
Redbridge,100
Westminster,287
Westminster,144
Kensington and Chelsea,1000
Bexley,75
Hackney,50
Hackney,155
Westminster,144
Newham,395
Haringey,120
Wandsworth,211
Brent,225
City of London,98
Westminster,258
Tower Hamlets,134
Waltham Forest,146
Lambeth,82
Haringey,66
Tower Hamlets,65
Camden,306
Haringey,32
Kensington and Chelsea,202
Kensington and Chelsea,203
Kensington and Chelsea,173
Southwark,108
Westminster,221
Wandsworth,81
Islington,274
Kensington and Chelsea,238
Tower Hamlets,172
Bromley,110
Merton,144
Merton,217
Tower Hamlets,90
Hounslow,299
Hounslow,143
Tower Hamlets,214
Tower Hamlets,212
Tower Hamlets,87
Islington,131
Barnet,114
Camden,429
Merton,215
Southwark,368
Tower Hamlets,323
Lambeth,186
Ealing,117
Southwark,135
Lewisham,140
Kensington and Chelsea,260
Bromley,117
Southwark,188
Kingston upon Thames,350
Islington,118
Hammersmith and Fulham,122
Kensington and Chelsea,238
Hammersmith and Fulham,105
Hammersmith and Fulham,115
Waltham Forest,81
Waltham Forest,81
Lambeth,198
Westminster,350
Haringey,52
Camden,290
Merton,118
Westminster,305
Brent,360
Westminster,180
Brent,400
Westminster,310
Westminster,157
Waltham Forest,80
Richmond upon Thames,240
Brent,63
Westminster,62
Haringey,59
Westminster,309
Southwark,250
Newham,211
Hackney,403
Westminster,67
Camden,156
Barking and Dagenham,25
Wandsworth,180
Lambeth,127
Barnet,87
Greenwich,145
Hillingdon,32
Bexley,50
Enfield,64
Camden,130
Wandsworth,189
Wandsworth,536
Redbridge,200
Camden,84
Camden,232
Croydon,92
Barnet,65
Ealing,120
Lewisham,106
Greenwich,950
Westminster,369
Brent,77
Southwark,451
Southwark,90
Hackney,107
Hammersmith and Fulham,125
Wandsworth,80
Hammersmith and Fulham,56
Richmond upon Thames,74
Kensington and Chelsea,200
Kensington and Chelsea,450
Southwark,211
Merton,98
Tower Hamlets,51
Bexley,216
Tower Hamlets,50
Lambeth,144
Hackney,800
Richmond upon Thames,650
Wandsworth,240
Lambeth,63
Greenwich,106
Barnet,260
Hammersmith and Fulham,180
Hammersmith and Fulham,103
Hammersmith and Fulham,111
Newham,365
Hammersmith and Fulham,160
Kensington and Chelsea,618
Redbridge,100
Hackney,99
Westminster,319
Waltham Forest,180
Croydon,152
Kensington and Chelsea,208
Newham,57
Westminster,346
Camden,125
Kensington and Chelsea,248
Hammersmith and Fulham,91
Kensington and Chelsea,72
Westminster,675
Greenwich,50
Westminster,324
Southwark,233
Havering,222
Barnet,56
Lewisham,161
Ealing,256
Islington,110
Wandsworth,208
Barnet,95
Westminster,450
Wandsworth,194
Brent,167
Southwark,94
Islington,126
Westminster,230
Hammersmith and Fulham,301
Ealing,142
Newham,40
Wandsworth,445
Lewisham,66
Newham,177
Enfield,112
Islington,162
Westminster,206
Southwark,280
Southwark,100
Hackney,90
Hackney,120
Westminster,277
Camden,113
Camden,364
Hammersmith and Fulham,641
Camden,196
Camden,207
Islington,176
Haringey,123
Hammersmith and Fulham,135
Merton,121
Camden,618
Islington,950
Brent,91
Kensington and Chelsea,327
Kensington and Chelsea,163
Brent,28
Tower Hamlets,110
Hackney,124
Haringey,428
Merton,40
Merton,62
Westminster,141
Hackney,104
Tower Hamlets,61
Haringey,44
Westminster,165
Croydon,77
Croydon,120
Hackney,58
Tower Hamlets,46
Hackney,58
Newham,106
Camden,240
Ealing,59
Westminster,240
Camden,240
Hammersmith and Fulham,217
Hammersmith and Fulham,171
Newham,37
Lewisham,180
Hackney,400
Brent,77
Lambeth,470
Barnet,65
Hammersmith and Fulham,123
Westminster,90
Camden,424
Bromley,100
Hackney,218
Wandsworth,67
Haringey,540
Bromley,46
Lambeth,61
Wandsworth,132
Barnet,500
Richmond upon Thames,408
Enfield,44
Barnet,68
Hackney,117
Lewisham,100
Brent,45
Newham,201
Greenwich,1093
Southwark,180
Westminster,227
Tower Hamlets,62
Islington,149
Wandsworth,227
Lambeth,53
Barnet,100
Barnet,206
Hackney,295
Hammersmith and Fulham,90
Kensington and Chelsea,227
Ealing,196
Redbridge,350
Westminster,63
Westminster,282
Camden,334
Islington,159
Camden,412
Camden,354
Camden,416
Camden,63
Camden,159
Camden,431
Kensington and Chelsea,152
Westminster,80
Westminster,159
Newham,60
Kensington and Chelsea,221
Camden,298
Tower Hamlets,108
Lambeth,190
City of London,177
Camden,155
Camden,410
Barnet,145
Camden,435
Westminster,190
Ealing,65
Wandsworth,162
Hammersmith and Fulham,137
Tower Hamlets,93
Croydon,92
Kensington and Chelsea,293
Waltham Forest,200
Greenwich,60
Camden,132
Westminster,126
Bromley,80
Greenwich,167
Tower Hamlets,56
Wandsworth,308
Brent,379
Newham,232
Bexley,125
Bexley,108
Westminster,532
Barking and Dagenham,158
Barnet,412
Westminster,798
Westminster,225
Westminster,1200
Hammersmith and Fulham,145
Westminster,1200
Islington,158
Camden,242
Camden,280
Camden,269
Camden,203
Kensington and Chelsea,173
Camden,100
Hammersmith and Fulham,56
Westminster,1200
Westminster,1200
Newham,110
Kensington and Chelsea,329
Westminster,220
Tower Hamlets,81
Westminster,9999
Greenwich,800
Greenwich,800
Westminster,149
Tower Hamlets,159
Westminster,163
Tower Hamlets,122
Southwark,206
Westminster,275
Westminster,76
Hackney,83
Haringey,120
Hackney,64
Westminster,430
Southwark,67
Lewisham,45
Camden,286
Camden,186
Wandsworth,63
Brent,187
Kensington and Chelsea,75
Ealing,79
Westminster,225
Hillingdon,49
Havering,200
Hammersmith and Fulham,73
Ealing,73
Hammersmith and Fulham,95
Tower Hamlets,70
Tower Hamlets,130
Westminster,284
Brent,95
Wandsworth,323
Waltham Forest,65
Brent,199
Hammersmith and Fulham,148
Lambeth,270
Lewisham,108
Lambeth,69
Southwark,193
Southwark,67
Westminster,125
Richmond upon Thames,553
Lewisham,63
Lewisham,62
Tower Hamlets,72
Newham,51
Tower Hamlets,132
Bexley,89
Hammersmith and Fulham,144
Tower Hamlets,108
Kensington and Chelsea,176
Barking and Dagenham,56
Ealing,90
Haringey,53
Islington,116
Barnet,47
Lambeth,161
Tower Hamlets,217
Ealing,90
Lewisham,54
Brent,80
Haringey,136
Haringey,201
Kensington and Chelsea,312
Kensington and Chelsea,68
Camden,184
Lewisham,140
Lambeth,354
Hackney,128
Brent,118
Newham,388
Wandsworth,260
Westminster,403
Ealing,206
Westminster,316
Bexley,91
Westminster,499
Westminster,319
Westminster,594
Barnet,135
Brent,120
Brent,104
Brent,64
Wandsworth,375
Kensington and Chelsea,160
Lambeth,64
Westminster,270
Camden,213
Lewisham,197
Camden,337
Kensington and Chelsea,304
Westminster,171
Hammersmith and Fulham,327
Hackney,54
Westminster,151
Tower Hamlets,115
Newham,53
Waltham Forest,135
Merton,40
Newham,216
Southwark,76
Lewisham,250
Hackney,142
Brent,152
Bexley,24
Newham,65
Greenwich,105
Hackney,108
Barnet,198
Tower Hamlets,106
Bromley,25
Wandsworth,100
Barnet,142
Newham,110
Ealing,80
Westminster,1200
Westminster,171
Camden,281
Westminster,150
Islington,152
Waltham Forest,273
Kensington and Chelsea,131
Kensington and Chelsea,112
Brent,105
Newham,141
Islington,83
Hackney,321
Westminster,133
Merton,83
Westminster,144
Westminster,155
Lambeth,41
City of London,114
Enfield,80
Hillingdon,81
Kensington and Chelsea,94
Lewisham,463
Hounslow,100
Westminster,455
Waltham Forest,27
Bromley,113
